InvoiceID,InvoiceDate,CustomerID,TotalInvoiceValue,SalesID_JSON,Status
INV00001,2025-05-02,CUST0658,325964.43,"SALE000001,SALE000002,SALE000003,SALE000004,SALE000005,SALE000006,SALE000007",Pending
INV00002,2025-05-04,CUST0828,189665.09,"SALE000008,SALE000009,SALE000010,SALE000011,SALE000012,SALE000013,SALE000014",Paid
INV00003,2025-05-02,CUST0671,150679.38,"SALE000015,SALE000016,SALE000017,SALE000018,SALE000019,SALE000020,SALE000021",Paid
INV00004,2025-05-04,CUST0528,200170.28999999998,"SALE000022,SALE000023,SALE000024,SALE000025,SALE000026,SALE000027,SALE000028",Paid
INV00005,2025-05-10,CUST0694,125359.3,"SALE000029,SALE000030,SALE000031,SALE000032,SALE000033,SALE000034,SALE000035",Paid
INV00006,2025-05-04,CUST0284,77073.93,"SALE000036,SALE000037,SALE000038,SALE000039,SALE000040,SALE000041,SALE000042",Paid
INV00007,2025-05-04,CUST0344,212395.53,"SALE000043,SALE000044,SALE000045,SALE000046,SALE000047,SALE000048,SALE000049",Paid
INV00008,2025-05-03,CUST0650,158338.23,"SALE000050,SALE000051,SALE000052,SALE000053,SALE000054,SALE000055,SALE000056",Paid
INV00009,2025-05-03,CUST0611,91342.19,"SALE000057,SALE000058,SALE000059,SALE000060,SALE000061,SALE000062,SALE000063",Paid
INV00010,2025-05-04,CUST0646,144650.53,"SALE000064,SALE000065,SALE000066,SALE000067,SALE000068,SALE000069,SALE000070",Paid
INV00011,2025-05-03,CUST0741,234075.74,"SALE000071,SALE000072,SALE000073,SALE000074,SALE000075,SALE000076,SALE000077",Paid
INV00012,2025-05-04,CUST0744,302815.58,"SALE000078,SALE000079,SALE000080,SALE000081,SALE000082,SALE000083,SALE000084",Paid
INV00013,2025-05-04,CUST0572,215249.01,"SALE000085,SALE000086,SALE000087,SALE000088,SALE000089,SALE000090,SALE000091",Paid
INV00014,2025-05-03,CUST0671,216989.74,"SALE000092,SALE000093,SALE000094,SALE000095,SALE000096,SALE000097,SALE000098",Paid
INV00015,2025-05-04,CUST0858,189595.1,"SALE000099,SALE000100,SALE000101,SALE000102,SALE000103,SALE000104,SALE000105",Pending
INV00016,2025-05-03,CUST0561,238863.03,"SALE000106,SALE000107,SALE000108,SALE000109,SALE000110,SALE000111,SALE000112",Paid
INV00017,2025-05-09,CUST0257,170928.19,"SALE000113,SALE000114,SALE000115,SALE000116,SALE000117,SALE000118,SALE000119",Paid
INV00018,2025-05-02,CUST0387,151355.75,"SALE000120,SALE000121,SALE000122,SALE000123,SALE000124,SALE000125,SALE000126",Paid
INV00019,2025-05-01,CUST0544,145790.02000000002,"SALE000127,SALE000128,SALE000129,SALE000130,SALE000131,SALE000132,SALE000133",Paid
INV00020,2025-05-03,CUST0107,147124.88,"SALE000134,SALE000135,SALE000136,SALE000137,SALE000138,SALE000139,SALE000140",Paid
INV00021,2025-05-03,CUST0089,379238.62,"SALE000141,SALE000142,SALE000143,SALE000144,SALE000145,SALE000146,SALE000147",Paid
INV00022,2025-05-04,CUST0189,309966.97000000003,"SALE000148,SALE000149,SALE000150,SALE000151,SALE000152,SALE000153,SALE000154",Paid
INV00023,2025-05-04,CUST0138,258743.59,"SALE000155,SALE000156,SALE000157,SALE000158,SALE000159,SALE000160,SALE000161",Paid
INV00024,2025-05-04,CUST0011,258332.26,"SALE000162,SALE000163,SALE000164,SALE000165,SALE000166,SALE000167,SALE000168",Paid
INV00025,2025-05-10,CUST0375,215983.37,"SALE000169,SALE000170,SALE000171,SALE000172,SALE000173,SALE000174,SALE000175",Paid
INV00026,2025-05-10,CUST0041,178690.12,"SALE000176,SALE000177,SALE000178,SALE000179,SALE000180,SALE000181,SALE000182",Paid
INV00027,2025-05-02,CUST0630,284602.42,"SALE000183,SALE000184,SALE000185,SALE000186,SALE000187,SALE000188,SALE000189",Paid
INV00028,2025-05-09,CUST0385,242685.77000000002,"SALE000190,SALE000191,SALE000192,SALE000193,SALE000194,SALE000195,SALE000196",Paid
INV00029,2025-05-03,CUST0006,177705.38,"SALE000197,SALE000198,SALE000199,SALE000200,SALE000201,SALE000202,SALE000203",Paid
INV00030,2025-05-03,CUST0942,271907.88,"SALE000204,SALE000205,SALE000206,SALE000207,SALE000208,SALE000209,SALE000210",Paid
INV00031,2025-05-04,CUST0226,134494.53,"SALE000211,SALE000212,SALE000213,SALE000214,SALE000215,SALE000216,SALE000217",Paid
INV00032,2025-05-03,CUST0381,237779.51,"SALE000218,SALE000219,SALE000220,SALE000221,SALE000222,SALE000223,SALE000224",Paid
INV00033,2025-05-11,CUST0216,116780.31999999999,"SALE000225,SALE000226,SALE000227,SALE000228,SALE000229,SALE000230,SALE000231",Pending
INV00034,2025-05-04,CUST0099,255771.47,"SALE000232,SALE000233,SALE000234,SALE000235,SALE000236,SALE000237,SALE000238",Paid
INV00035,2025-05-03,CUST0661,393371.57,"SALE000239,SALE000240,SALE000241,SALE000242,SALE000243,SALE000244,SALE000245",Paid
INV00036,2025-05-17,CUST0680,174319.43,"SALE000246,SALE000247,SALE000248,SALE000249,SALE000250,SALE000251,SALE000252",Paid
INV00037,2025-05-04,CUST0816,161449.39,"SALE000253,SALE000254,SALE000255,SALE000256,SALE000257,SALE000258,SALE000259",Paid
INV00038,2025-05-04,CUST0733,111011.64,"SALE000260,SALE000261,SALE000262,SALE000263,SALE000264,SALE000265,SALE000266",Paid
INV00039,2025-05-01,CUST0985,266112.91000000003,"SALE000267,SALE000268,SALE000269,SALE000270,SALE000271,SALE000272,SALE000273",Paid
INV00040,2025-05-04,CUST0365,292505.01,"SALE000274,SALE000275,SALE000276,SALE000277,SALE000278,SALE000279,SALE000280",Paid
INV00041,2025-05-03,CUST0795,132421.75,"SALE000281,SALE000282,SALE000283,SALE000284,SALE000285,SALE000286,SALE000287",Paid
INV00042,2025-05-03,CUST0063,115115.64,"SALE000288,SALE000289,SALE000290,SALE000291,SALE000292,SALE000293,SALE000294",Paid
INV00043,2025-05-01,CUST0956,127267.38999999998,"SALE000295,SALE000296,SALE000297,SALE000298,SALE000299,SALE000300,SALE000301",Paid
INV00044,2025-05-03,CUST0365,155869.56,"SALE000302,SALE000303,SALE000304,SALE000305,SALE000306,SALE000307,SALE000308",Paid
INV00045,2025-05-10,CUST0052,139260.88,"SALE000309,SALE000310,SALE000311,SALE000312,SALE000313,SALE000314,SALE000315",Pending
INV00046,2025-05-04,CUST0329,268107.73,"SALE000316,SALE000317,SALE000318,SALE000319,SALE000320,SALE000321,SALE000322",Pending
INV00047,2025-05-03,CUST0680,153877.9,"SALE000323,SALE000324,SALE000325,SALE000326,SALE000327,SALE000328,SALE000329",Paid
INV00048,2025-05-03,CUST0361,210086.32,"SALE000330,SALE000331,SALE000332,SALE000333,SALE000334,SALE000335,SALE000336",Paid
INV00049,2025-05-05,CUST1000,116383.97,"SALE000337,SALE000338,SALE000339,SALE000340,SALE000341,SALE000342,SALE000343",Paid
INV00050,2025-05-03,CUST0141,105615.20000000001,"SALE000344,SALE000345,SALE000346,SALE000347,SALE000348,SALE000349,SALE000350",Paid
INV00051,2025-05-03,CUST0408,126099.74,"SALE000351,SALE000352,SALE000353,SALE000354,SALE000355,SALE000356,SALE000357",Paid
INV00052,2025-05-04,CUST0394,148650.13,"SALE000358,SALE000359,SALE000360,SALE000361,SALE000362,SALE000363,SALE000364",Pending
