PO_ID,PODate,SupplierID,ProductID,CostPerUnit,QuantityOrdered,TotalAmountSpent
PO0001,2025-05-18,SUP001,PROD299,4832.29,104,502558.16
PO0002,2025-05-08,SUP001,PROD135,5439.17,140,761483.8
PO0003,2025-05-04,SUP001,PROD109,3450.56,85,293297.6
PO0004,2025-05-01,SUP026,PROD180,30338.27,104,3155180.08
PO0005,2025-05-02,SUP008,PROD218,4519.22,130,587498.6
PO0006,2025-05-13,SUP016,PROD022,517.9,484,250663.6
PO0007,2025-05-20,SUP025,PROD337,3785.87,96,363443.52
PO0008,2025-05-30,SUP018,PROD379,4303.88,88,378741.44
PO0009,2025-05-02,SUP040,PROD260,1376.49,148,203720.52
PO0010,2025-05-23,SUP016,PROD295,3383.78,99,334994.22
PO0011,2025-05-02,SUP037,PROD304,3192.56,148,472498.88
PO0012,2025-05-07,SUP023,PROD307,4173.53,91,379791.23
PO0013,2025-05-14,SUP037,PROD302,5276.02,140,738642.8
PO0014,2025-05-10,SUP028,PROD362,62.5,554,34625.0
PO0015,2025-05-15,SUP013,PROD193,473.5,520,246220.0
PO0016,2025-05-16,SUP036,PROD076,4051.95,138,559169.1
PO0017,2025-05-27,SUP034,PROD339,543.26,580,315090.8
PO0018,2025-05-06,SUP021,PROD371,183.94,769,141449.86
PO0019,2025-05-29,SUP013,PROD314,5167.2,97,501218.4
PO0020,2025-05-21,SUP009,PROD374,407.85,665,271220.25
PO0021,2025-05-28,SUP030,PROD334,2604.82,87,226619.34
PO0022,2025-05-19,SUP019,PROD272,3531.37,118,416701.66
PO0023,2025-05-11,SUP001,PROD208,2097.7,100,209770.0
PO0024,2025-05-06,SUP021,PROD314,5167.2,84,434044.8
PO0025,2025-05-25,SUP023,PROD123,306.88,444,136254.72
PO0026,2025-05-02,SUP039,PROD297,4563.72,144,657175.68
PO0027,2025-05-17,SUP002,PROD159,3792.89,123,466525.47
PO0028,2025-05-06,SUP004,PROD351,569.12,522,297080.64
PO0029,2025-05-04,SUP014,PROD295,3383.78,101,341761.78
PO0030,2025-05-22,SUP020,PROD238,192.1,632,121407.2
PO0031,2025-05-08,SUP017,PROD335,467.87,410,191826.7
PO0032,2025-05-10,SUP007,PROD227,4538.68,89,403942.52
PO0033,2025-05-25,SUP011,PROD074,280.95,102,28656.9
PO0034,2025-05-21,SUP017,PROD080,531.85,735,390909.75
PO0035,2025-05-24,SUP037,PROD102,3967.1,120,476052.0
PO0036,2025-05-24,SUP033,PROD206,361.06,380,137202.8
PO0037,2025-05-02,SUP008,PROD238,192.1,680,130628.0
