SaleID,SalesDate,SalesTime,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount
SALE000001,2025-05-25,20:16:05,CUST0658,PROD210,9,5835.21,52516.89
SALE000002,2025-05-24,15:11:28,CUST0046,PROD286,1,65934.34,65934.34
SALE000003,2025-05-17,19:03:09,CUST0771,PROD219,2,490.91,981.82
SALE000004,2025-05-31,16:48:37,CUST0233,PROD200,9,5882.81,52945.29
SALE000005,2025-05-02,18:26:34,CUST0704,PROD197,8,1337.48,10699.84
SALE000006,2025-05-19,17:19:05,CUST0405,PROD174,2,67821.7,135643.4
SALE000007,2025-05-31,19:43:39,CUST0151,PROD206,17,426.05,7242.85
SALE000008,2025-05-31,12:10:13,CUST0828,PROD331,26,675.11,17552.86
SALE000009,2025-05-04,20:27:12,CUST0843,PROD255,1,4679.17,4679.17
SALE000010,2025-05-18,21:58:51,CUST0069,PROD232,2,700.44,1400.88
SALE000011,2025-05-31,15:54:17,CUST0533,PROD289,60,346.83,20809.8
SALE000012,2025-05-30,21:39:37,CUST0536,PROD318,1,67212.41,67212.41
SALE000013,2025-05-10,19:37:37,CUST0777,PROD100,2,25635.46,51270.92
SALE000014,2025-05-04,19:49:06,CUST0805,PROD033,5,5347.81,26739.05
SALE000015,2025-05-18,16:16:24,CUST0671,PROD248,8,6625.36,53002.88
SALE000016,2025-05-03,12:17:25,CUST0148,PROD370,79,416.0,32864.0
SALE000017,2025-05-03,16:56:56,CUST0340,PROD120,32,343.06,10977.92
SALE000018,2025-05-02,14:57:23,CUST0021,PROD022,45,611.12,27500.4
SALE000019,2025-05-27,14:17:53,CUST0504,PROD253,2,3027.64,6055.28
SALE000020,2025-05-17,21:28:49,CUST0846,PROD222,1,13858.52,13858.52
SALE000021,2025-05-04,13:28:13,CUST0936,PROD306,1,6420.38,6420.38
SALE000022,2025-05-31,15:52:03,CUST0528,PROD045,1,55377.24,55377.24
SALE000023,2025-05-31,16:08:49,CUST0872,PROD388,1,10615.21,10615.21
SALE000024,2025-05-11,13:53:03,CUST0256,PROD364,1,512.19,512.19
SALE000025,2025-05-18,21:12:17,CUST0378,PROD153,61,614.21,37466.81
SALE000026,2025-05-04,20:01:15,CUST0382,PROD358,8,1501.73,12013.84
SALE000027,2025-05-25,19:35:22,CUST0353,PROD079,3,6199.83,18599.49
SALE000028,2025-05-27,21:53:44,CUST0093,PROD367,1,65585.51,65585.51
SALE000029,2025-05-11,13:41:14,CUST0694,PROD368,4,3670.44,14681.76
SALE000030,2025-05-31,10:55:49,CUST0991,PROD114,1,7741.08,7741.08
SALE000031,2025-05-10,20:11:38,CUST0821,PROD203,1,5706.71,5706.71
SALE000032,2025-05-17,21:45:41,CUST0282,PROD030,56,666.44,37320.64
SALE000033,2025-05-18,17:16:13,CUST0478,PROD119,5,1888.43,9442.15
SALE000034,2025-05-24,19:06:00,CUST0524,PROD144,2,17109.63,34219.26
SALE000035,2025-05-31,15:35:41,CUST0609,PROD136,10,1624.77,16247.7
SALE000036,2025-05-04,17:04:21,CUST0284,PROD017,1,30812.12,30812.12
SALE000037,2025-05-17,13:09:33,CUST0784,PROD217,4,1520.28,6081.12
SALE000038,2025-05-24,20:20:43,CUST0144,PROD255,1,4679.17,4679.17
SALE000039,2025-05-17,14:58:26,CUST0415,PROD371,51,218.89,11163.39
SALE000040,2025-05-11,15:46:45,CUST0228,PROD177,9,832.76,7494.84
SALE000041,2025-05-21,20:22:32,CUST0308,PROD395,3,4933.51,14800.53
SALE000042,2025-05-31,12:18:06,CUST0483,PROD044,3,680.92,2042.76
SALE000043,2025-05-31,12:43:57,CUST0344,PROD312,2,6521.67,13043.34
SALE000044,2025-05-17,16:50:56,CUST0340,PROD098,6,2324.51,13947.06
SALE000045,2025-05-25,11:30:03,CUST0888,PROD347,10,6686.84,66868.4
SALE000046,2025-05-19,11:30:56,CUST0200,PROD097,9,4544.25,40898.25
SALE000047,2025-05-04,16:33:19,CUST0424,PROD324,1,4763.19,4763.19
SALE000048,2025-05-28,12:12:21,CUST0420,PROD142,10,6813.64,68136.4
SALE000049,2025-05-29,17:09:20,CUST0884,PROD268,3,1579.63,4738.89
SALE000050,2025-05-18,20:11:20,CUST0650,PROD133,1,8905.12,8905.12
SALE000051,2025-05-11,12:36:48,CUST0163,PROD021,64,363.43,23259.52
SALE000052,2025-05-26,11:08:39,CUST0445,PROD290,7,1981.43,13870.01
SALE000053,2025-05-25,16:00:02,CUST0547,PROD314,4,9197.62,36790.48
SALE000054,2025-05-03,15:48:53,CUST0544,PROD198,1,43260.22,43260.22
SALE000055,2025-05-11,13:44:56,CUST0353,PROD181,5,5794.27,28971.35
SALE000056,2025-05-31,19:19:10,CUST0067,PROD305,7,468.79,3281.53
SALE000057,2025-05-10,17:46:33,CUST0611,PROD376,9,1052.73,9474.57
SALE000058,2025-05-10,15:57:31,CUST0368,PROD281,26,694.25,18050.5
SALE000059,2025-05-06,16:01:14,CUST0230,PROD205,1,13376.88,13376.88
SALE000060,2025-05-03,19:32:10,CUST0127,PROD090,6,4185.67,25114.02
SALE000061,2025-05-03,16:56:40,CUST0262,PROD251,9,1127.76,10149.84
SALE000062,2025-05-03,20:06:41,CUST0857,PROD236,4,254.95,1019.8
SALE000063,2025-05-24,17:24:07,CUST0561,PROD320,34,416.37,14156.58
SALE000064,2025-05-16,13:44:43,CUST0646,PROD307,1,5717.74,5717.74
SALE000065,2025-05-04,20:33:17,CUST0638,PROD160,10,5840.27,58402.7
SALE000066,2025-05-04,18:46:39,CUST0121,PROD274,38,70.13,2664.94
SALE000067,2025-05-04,17:12:38,CUST0205,PROD184,35,475.41,16639.35
SALE000068,2025-05-11,15:45:26,CUST0303,PROD276,3,4707.43,14122.29
SALE000069,2025-05-11,21:59:30,CUST0339,PROD364,4,512.19,2048.76
SALE000070,2025-05-04,11:53:36,CUST0686,PROD162,65,693.15,45054.75
SALE000071,2025-05-05,18:04:46,CUST0741,PROD133,2,8905.12,17810.24
SALE000072,2025-05-11,17:18:16,CUST0476,PROD298,1,37982.26,37982.26
SALE000073,2025-05-03,14:23:51,CUST0694,PROD051,6,5318.14,31908.84
SALE000074,2025-05-14,11:54:48,CUST0912,PROD017,1,30812.12,30812.12
SALE000075,2025-05-10,15:22:57,CUST0449,PROD341,2,33212.27,66424.54
SALE000076,2025-05-09,11:23:52,CUST0351,PROD340,1,9484.94,9484.94
SALE000077,2025-05-25,14:53:24,CUST0707,PROD069,8,4956.6,39652.8
SALE000078,2025-05-10,11:08:44,CUST0744,PROD034,1,43896.12,43896.12
SALE000079,2025-05-31,11:26:58,CUST0605,PROD298,1,37982.26,37982.26
SALE000080,2025-05-10,19:24:49,CUST0368,PROD233,1,6035.69,6035.69
SALE000081,2025-05-10,17:58:31,CUST0116,PROD015,7,8561.76,59932.32
SALE000082,2025-05-17,20:20:00,CUST0722,PROD256,9,6648.07,59832.63
SALE000083,2025-05-25,21:36:14,CUST0979,PROD222,1,13858.52,13858.52
SALE000084,2025-05-04,16:42:46,CUST0255,PROD046,1,81278.04,81278.04
SALE000085,2025-05-24,12:53:52,CUST0572,PROD154,80,594.51,47560.8
SALE000086,2025-05-10,18:54:30,CUST0873,PROD353,1,67623.82,67623.82
SALE000087,2025-05-25,15:15:21,CUST0994,PROD363,37,203.02,7511.74
SALE000088,2025-05-31,20:24:25,CUST0837,PROD253,4,3027.64,12110.56
SALE000089,2025-05-25,11:54:31,CUST0458,PROD088,42,120.85,5075.7
SALE000090,2025-05-04,21:41:01,CUST0106,PROD173,53,633.96,33599.88
SALE000091,2025-05-31,10:52:05,CUST0811,PROD335,79,528.69,41766.51
SALE000092,2025-05-17,18:35:13,CUST0671,PROD293,8,4457.5,35660.0
SALE000093,2025-05-03,13:54:29,CUST0340,PROD177,9,832.76,7494.84
SALE000094,2025-05-25,21:42:23,CUST0734,PROD375,8,5608.54,44868.32
SALE000095,2025-05-11,10:21:22,CUST0850,PROD198,1,43260.22,43260.22
SALE000096,2025-05-31,15:44:06,CUST0047,PROD045,1,55377.24,55377.24
SALE000097,2025-05-24,11:16:39,CUST0201,PROD396,4,1142.59,4570.36
SALE000098,2025-05-04,16:13:29,CUST0845,PROD303,4,6439.69,25758.76
SALE000099,2025-05-24,10:59:40,CUST0858,PROD307,10,5717.74,57177.4
SALE000100,2025-05-04,17:29:42,CUST0604,PROD172,66,76.18,5027.88
SALE000101,2025-05-05,10:33:47,CUST0050,PROD390,1,31554.44,31554.44
SALE000102,2025-05-14,17:59:32,CUST0800,PROD305,24,468.79,11250.96
SALE000103,2025-05-10,11:24:42,CUST0615,PROD103,10,5974.04,59740.4
SALE000104,2025-05-24,16:38:58,CUST0710,PROD250,4,5246.66,20986.64
SALE000105,2025-05-18,14:28:51,CUST0137,PROD363,19,203.02,3857.38
SALE000106,2025-05-31,14:53:44,CUST0561,PROD341,1,33212.27,33212.27
SALE000107,2025-05-23,18:40:13,CUST0206,PROD133,4,8905.12,35620.48
SALE000108,2025-05-20,20:22:58,CUST0689,PROD040,3,8605.19,25815.57
SALE000109,2025-05-10,18:34:44,CUST0653,PROD035,6,869.43,5216.58
SALE000110,2025-05-18,18:30:37,CUST0585,PROD124,7,5766.33,40364.31
SALE000111,2025-05-22,18:18:56,CUST0868,PROD017,1,30812.12,30812.12
SALE000112,2025-05-03,16:09:03,CUST0687,PROD174,1,67821.7,67821.7
SALE000113,2025-05-09,12:18:43,CUST0257,PROD215,3,3090.17,9270.51
SALE000114,2025-05-17,13:48:34,CUST0034,PROD121,6,5487.42,32924.52
SALE000115,2025-05-31,13:47:41,CUST0575,PROD159,7,5727.26,40090.82
SALE000116,2025-05-17,21:42:03,CUST0949,PROD017,1,30812.12,30812.12
SALE000117,2025-05-14,20:20:35,CUST0056,PROD013,3,737.55,2212.65
SALE000118,2025-05-25,13:58:40,CUST0722,PROD013,49,737.55,36139.95
SALE000119,2025-05-11,21:12:18,CUST0460,PROD279,3,6492.54,19477.62
SALE000120,2025-05-10,21:32:07,CUST0387,PROD200,1,5882.81,5882.81
SALE000121,2025-05-17,12:10:37,CUST0867,PROD188,34,661.89,22504.26
SALE000122,2025-05-10,10:09:59,CUST0331,PROD350,78,650.13,50710.14
SALE000123,2025-05-02,20:39:53,CUST0678,PROD129,5,3984.34,19921.7
SALE000124,2025-05-16,18:22:04,CUST0803,PROD260,6,2188.62,13131.72
SALE000125,2025-05-10,18:04:50,CUST0518,PROD288,22,381.5,8393.0
SALE000126,2025-05-24,11:22:14,CUST0905,PROD017,1,30812.12,30812.12
SALE000127,2025-05-17,13:48:39,CUST0544,PROD329,1,9811.76,9811.76
SALE000128,2025-05-18,20:00:07,CUST0685,PROD345,6,714.44,4286.64
SALE000129,2025-05-11,10:43:56,CUST0329,PROD255,1,4679.17,4679.17
SALE000130,2025-05-26,16:16:34,CUST0742,PROD131,5,7295.4,36477.0
SALE000131,2025-05-01,15:32:51,CUST0521,PROD296,1,46414.4,46414.4
SALE000132,2025-05-11,15:32:05,CUST0971,PROD309,14,507.74,7108.36
SALE000133,2025-05-06,18:34:00,CUST0642,PROD180,1,37012.69,37012.69
SALE000134,2025-05-11,20:27:53,CUST0107,PROD080,28,590.35,16529.8
SALE000135,2025-05-18,21:49:27,CUST0663,PROD155,2,6407.87,12815.74
SALE000136,2025-05-03,17:45:21,CUST0039,PROD135,2,9192.2,18384.4
SALE000137,2025-05-17,18:04:36,CUST0842,PROD014,1,62199.64,62199.64
SALE000138,2025-05-25,20:25:27,CUST0324,PROD015,1,8561.76,8561.76
SALE000139,2025-05-31,10:41:46,CUST0634,PROD130,10,304.11,3041.1
SALE000140,2025-05-25,10:44:54,CUST0075,PROD193,47,544.52,25592.44
SALE000141,2025-05-17,20:19:38,CUST0089,PROD133,5,8905.12,44525.6
SALE000142,2025-05-25,16:25:52,CUST0677,PROD319,1,70285.49,70285.49
SALE000143,2025-05-10,21:25:50,CUST0817,PROD203,9,5706.71,51360.39
SALE000144,2025-05-10,12:19:43,CUST0909,PROD269,2,41380.9,82761.8
SALE000145,2025-05-26,20:23:00,CUST0567,PROD001,73,264.0,19272.0
SALE000146,2025-05-03,19:38:25,CUST0551,PROD183,72,602.91,43409.52
SALE000147,2025-05-11,21:47:57,CUST0744,PROD353,1,67623.82,67623.82
SALE000148,2025-05-14,18:09:10,CUST0189,PROD117,4,1298.46,5193.84
SALE000149,2025-05-20,13:07:11,CUST0688,PROD091,1,25062.47,25062.47
SALE000150,2025-05-31,17:41:35,CUST0075,PROD297,5,6297.93,31489.65
SALE000151,2025-05-04,13:46:37,CUST0499,PROD010,2,70452.79,140905.58
SALE000152,2025-05-11,11:18:39,CUST0072,PROD352,4,6885.08,27540.32
SALE000153,2025-05-18,19:42:19,CUST0711,PROD196,76,259.78,19743.28
SALE000154,2025-05-18,15:27:10,CUST0005,PROD264,1,60031.83,60031.83
SALE000155,2025-05-24,14:53:23,CUST0138,PROD309,44,507.74,22340.56
SALE000156,2025-05-25,15:49:19,CUST0499,PROD176,9,4941.84,44476.56
SALE000157,2025-05-04,14:54:52,CUST0144,PROD063,9,4595.22,41356.98
SALE000158,2025-05-04,21:04:57,CUST0020,PROD314,9,9197.62,82778.58
SALE000159,2025-05-24,19:13:58,CUST0038,PROD250,9,5246.66,47219.94
SALE000160,2025-05-31,17:41:49,CUST0153,PROD205,1,13376.88,13376.88
SALE000161,2025-05-08,19:46:54,CUST0298,PROD202,3,2398.03,7194.09
SALE000162,2025-05-04,16:23:32,CUST0011,PROD075,1,20054.34,20054.34
SALE000163,2025-05-28,19:43:10,CUST0776,PROD314,9,9197.62,82778.58
SALE000164,2025-05-10,19:36:42,CUST0894,PROD224,3,7056.08,21168.24
SALE000165,2025-05-24,15:02:14,CUST0780,PROD093,1,65278.75,65278.75
SALE000166,2025-05-11,10:42:13,CUST0531,PROD069,6,4956.6,29739.6
SALE000167,2025-05-25,10:02:41,CUST0332,PROD135,2,9192.2,18384.4
SALE000168,2025-05-23,20:53:17,CUST0855,PROD090,5,4185.67,20928.35
SALE000169,2025-05-10,16:41:24,CUST0375,PROD204,77,188.71,14530.67
SALE000170,2025-05-21,11:33:16,CUST0386,PROD302,4,7386.43,29545.72
SALE000171,2025-05-18,17:50:30,CUST0909,PROD053,79,308.7,24387.3
SALE000172,2025-05-10,17:10:14,CUST0079,PROD368,9,3670.44,33033.96
SALE000173,2025-05-10,12:10:23,CUST0617,PROD187,2,6678.28,13356.56
SALE000174,2025-05-18,21:07:30,CUST0692,PROD185,8,8427.86,67422.88
SALE000175,2025-05-10,20:53:26,CUST0023,PROD178,4,8426.57,33706.28
SALE000176,2025-05-10,12:40:32,CUST0041,PROD137,10,4516.86,45168.6
SALE000177,2025-05-17,12:33:25,CUST0614,PROD183,74,602.91,44615.34
SALE000178,2025-05-17,11:13:28,CUST0622,PROD092,8,689.15,5513.2
SALE000179,2025-05-11,16:38:09,CUST0814,PROD373,76,45.35,3446.6
SALE000180,2025-05-27,19:42:32,CUST0271,PROD334,3,4558.44,13675.32
SALE000181,2025-05-25,19:37:04,CUST0236,PROD275,1,47402.76,47402.76
SALE000182,2025-05-11,18:55:58,CUST0517,PROD120,55,343.06,18868.3
SALE000183,2025-05-04,12:30:57,CUST0630,PROD395,10,4933.51,49335.1
SALE000184,2025-05-02,18:32:48,CUST0121,PROD029,13,73.14,950.82
SALE000185,2025-05-31,10:57:49,CUST0695,PROD319,1,70285.49,70285.49
SALE000186,2025-05-03,21:33:27,CUST0235,PROD378,2,46307.49,92614.98
SALE000187,2025-05-16,16:22:37,CUST0824,PROD196,75,259.78,19483.5
SALE000188,2025-05-17,17:49:14,CUST0932,PROD237,2,1456.0,2912.0
SALE000189,2025-05-31,16:16:12,CUST0006,PROD259,1,49020.53,49020.53
SALE000190,2025-05-31,11:33:00,CUST0385,PROD089,4,7302.33,29209.32
SALE000191,2025-05-23,16:23:06,CUST0159,PROD041,7,448.58,3140.06
SALE000192,2025-05-17,18:27:36,CUST0375,PROD079,10,6199.83,61998.3
SALE000193,2025-05-09,16:48:13,CUST0424,PROD181,9,5794.27,52148.43
SALE000194,2025-05-10,15:35:35,CUST0496,PROD026,5,4804.43,24022.15
SALE000195,2025-05-24,21:08:54,CUST0885,PROD341,1,33212.27,33212.27
SALE000196,2025-05-10,11:13:32,CUST0411,PROD279,6,6492.54,38955.24
SALE000197,2025-05-03,12:24:40,CUST0006,PROD390,1,31554.44,31554.44
SALE000198,2025-05-24,11:04:16,CUST0228,PROD040,6,8605.19,51631.14
SALE000199,2025-05-24,16:39:41,CUST0534,PROD382,5,1022.72,5113.6
SALE000200,2025-05-23,10:49:52,CUST0180,PROD034,1,43896.12,43896.12
SALE000201,2025-05-31,14:12:02,CUST0803,PROD091,1,25062.47,25062.47
SALE000202,2025-05-10,20:02:23,CUST0245,PROD081,2,746.19,1492.38
SALE000203,2025-05-17,16:22:42,CUST0405,PROD278,7,2707.89,18955.23
SALE000204,2025-05-03,21:45:04,CUST0942,PROD091,1,25062.47,25062.47
SALE000205,2025-05-10,18:58:37,CUST0357,PROD291,46,599.57,27580.22
SALE000206,2025-05-31,13:38:12,CUST0466,PROD263,2,67550.09,135100.18
SALE000207,2025-05-10,16:32:06,CUST0573,PROD313,11,695.63,7651.93
SALE000208,2025-05-04,18:16:56,CUST0551,PROD105,10,6712.18,67121.8
SALE000209,2025-05-24,19:30:49,CUST0250,PROD358,6,1501.73,9010.38
SALE000210,2025-05-31,20:29:57,CUST0601,PROD172,5,76.18,380.9
SALE000211,2025-05-04,16:40:50,CUST0226,PROD120,31,343.06,10634.86
SALE000212,2025-05-18,18:34:00,CUST0718,PROD355,5,2710.37,13551.85
SALE000213,2025-05-24,20:47:52,CUST0351,PROD027,2,7592.02,15184.04
SALE000214,2025-05-18,17:20:22,CUST0224,PROD366,10,1055.39,10553.9
SALE000215,2025-05-11,17:47:12,CUST0241,PROD327,4,1029.66,4118.64
SALE000216,2025-05-11,13:53:15,CUST0857,PROD266,47,818.68,38477.96
SALE000217,2025-05-05,11:58:05,CUST0693,PROD250,8,5246.66,41973.28
SALE000218,2025-05-31,10:54:30,CUST0381,PROD392,1,35537.71,35537.71
SALE000219,2025-05-16,19:55:17,CUST0503,PROD190,3,1591.74,4775.22
